"";"system:index";"CLOUD_COVER";"CLOUD_COVER_LAND";"EARTH_SUN_DISTANCE";"ESPA_VERSION";"GEOMETRIC_RMSE_MODEL";"GEOMETRIC_RMSE_MODEL_X";"GEOMETRIC_RMSE_MODEL_Y";"IMAGE_QUALITY";"LANDSAT_ID";"LEVEL1_PRODUCTION_DATE";"PIXEL_QA_VERSION";"SATELLITE";"SENSING_TIME";"SOLAR_AZIMUTH_ANGLE";"SOLAR_ZENITH_ANGLE";"SR_APP_VERSION";"WRS_PATH";"WRS_ROW";"system:asset_size";"system:band_names";"system:bands";"system:footprint";"system:id";"system:time_start";"system:version";".geo";"IMAGE_QUALITY_OLI";"IMAGE_QUALITY_TIRS";"system:time_end"
"121";"2_LT05_227062_20060805";3;3;1,014408;"2_19_0c";4,317;3,327;2,751;9;"LT05_L1TP_227062_20060805_20161119_01_T1";1479596248000;"generate_pixel_qa_1.5.0";"LANDSAT_5";2006-08-05 13:41:31;55,642345;36,053856;"LEDAPS_3.2.0";227;62;280018422;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.70364222859739,-3.824258122120944, -53.701961822593205,-3.8242516460881784, -53.6762108554908,-3.7028232149341895, -53.57570493368034,-3.2283196005832684, -53.47879254498643,-2.7704383530459373, -53.36337334881444,-2.225476327191802, -53.36337886608159,-2.223211395820493, -53.385717663986405,-2.2177888209055103, -53.48926449746742,-2.2026934084920637, -54.015644282371284,-2.125880595936916, -54.60890302782435,-2.039146249432081, -55.07018840331983,-1.9715596931526145, -55.07214270819602,-1.9800310856428545, -55.08313739576612,-2.031314824925699, -55.24743734263866,-2.799380872021776, -55.41165488228155,-3.5675588743751683, -55.41205907113789,-3.5704367709051135, -55.407437830403005,-3.572458615165285, -55.39730456421041,-3.576801131478533, -53.70364222859739,-3.824258122120944)";"LANDSAT/LT05/C01/T1_SR/LT05_227062_20060805";1154785291170;1521902405923810;"{""type"":""Polygon"",""coordinates"":[[[-53.70364222859739,-3.824258122120944],[-53.701961822593205,-3.8242516460881784],[-53.6762108554908,-3.7028232149341895],[-53.57570493368034,-3.2283196005832684],[-53.47879254498643,-2.7704383530459373],[-53.36337334881444,-2.225476327191802],[-53.36337886608159,-2.223211395820493],[-53.385717663986405,-2.2177888209055103],[-53.48926449746742,-2.2026934084920637],[-54.015644282371284,-2.125880595936916],[-54.60890302782435,-2.039146249432081],[-55.07018840331983,-1.9715596931526145],[-55.07214270819602,-1.9800310856428545],[-55.08313739576612,-2.031314824925699],[-55.24743734263866,-2.799380872021776],[-55.41165488228155,-3.5675588743751683],[-55.41205907113789,-3.5704367709051135],[-55.407437830403005,-3.572458615165285],[-55.39730456421041,-3.576801131478533],[-53.70364222859739,-3.824258122120944]]]}";NA;NA;NA
"122";"2_LT05_227062_20060821";6;6;1,011611;"2_19_0c";7,187;4,838;5,315;9;"LT05_L1TP_227062_20060821_20161119_01_T1";1479536566000;"generate_pixel_qa_1.5.0";"LANDSAT_5";2006-08-21 13:41:42;62,628704;33,135582;"LEDAPS_3.2.0";227;62;338992874;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.7720507342295,-3.7619205317743263, -53.69038957070313,-3.773809104770279, -53.688721778239334,-3.7738027713102142, -53.585273222396054,-3.26844767390577, -53.481775605070425,-2.7636730389320534, -53.36826419534208,-2.2096757422592592, -53.35150113323368,-2.1279380610342025, -53.32894011688355,-2.017793771976378, -53.328494084081385,-2.014600936342086, -53.351276278905246,-2.008304613618842, -55.04550088609538,-1.7599367151804532, -55.0491692658762,-1.7617872541690927, -55.05134456324843,-1.771410028452093, -55.071192137024326,-1.8669176554604165, -55.23388943245234,-2.654632272095986, -55.39647546498899,-3.4424547089707995, -55.411514578082645,-3.516764731610044, -55.394232114304614,-3.523896751256562, -55.16941468141062,-3.5570953969064245, -54.79362224844638,-3.6124274950321538, -53.7720507342295,-3.7619205317743263)";"LANDSAT/LT05/C01/T1_SR/LT05_227062_20060821";1156167702930;1521902406610152;"{""type"":""Polygon"",""coordinates"":[[[-53.7720507342295,-3.7619205317743263],[-53.69038957070313,-3.773809104770279],[-53.688721778239334,-3.7738027713102142],[-53.585273222396054,-3.26844767390577],[-53.481775605070425,-2.7636730389320534],[-53.36826419534208,-2.2096757422592592],[-53.35150113323368,-2.1279380610342025],[-53.32894011688355,-2.017793771976378],[-53.328494084081385,-2.014600936342086],[-53.351276278905246,-2.008304613618842],[-55.04550088609538,-1.7599367151804532],[-55.0491692658762,-1.7617872541690927],[-55.05134456324843,-1.771410028452093],[-55.071192137024326,-1.8669176554604165],[-55.23388943245234,-2.654632272095986],[-55.39647546498899,-3.4424547089707995],[-55.411514578082645,-3.516764731610044],[-55.394232114304614,-3.523896751256562],[-55.16941468141062,-3.5570953969064245],[-54.79362224844638,-3.6124274950321538],[-53.7720507342295,-3.7619205317743263]]]}";NA;NA;NA
"123";"2_LT05_227062_20061109";18;18;0,990484;"2_19_0c";5,775;4,736;3,304;9;"LT05_L1TP_227062_20061109_20161118_01_T1";1479490205000;"generate_pixel_qa_1.5.0";"LANDSAT_5";2006-11-09 13:42:36;121,644859;28,065723;"LEDAPS_3.2.0";227;62;340243574;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-55.12931550792357,-1.943535622337145, -55.13093877068949,-1.9435374279254811, -55.14946737354058,-2.0292221947877813, -55.30764854803636,-2.767321358163616, -55.465759352721086,-3.5055113763459484, -55.47326803223441,-3.5408224976225893, -55.47326448199897,-3.5430298231236126, -55.45949065309453,-3.548987387382016, -53.77132696871232,-3.794516754618744, -53.75093592304944,-3.6993083185478413, -53.625950488885486,-3.1117134191983795, -53.5350780947226,-2.6840479090269027, -53.444085928911676,-2.256455564447064, -53.433874373477,-2.2083434111393068, -53.431304001291146,-2.1960077946523984, -53.43072490696862,-2.1921602331611294, -53.45420117150438,-2.186528703680671, -54.08826850427921,-2.094726910487896, -54.545040932902666,-2.0284740354559467, -55.12931550792357,-1.943535622337145)";"LANDSAT/LT05/C01/T1_SR/LT05_227062_20061109";1163079756160;1521902408703918;"{""type"":""Polygon"",""coordinates"":[[[-55.12931550792357,-1.943535622337145],[-55.13093877068949,-1.9435374279254811],[-55.14946737354058,-2.0292221947877813],[-55.30764854803636,-2.767321358163616],[-55.465759352721086,-3.5055113763459484],[-55.47326803223441,-3.5408224976225893],[-55.47326448199897,-3.5430298231236126],[-55.45949065309453,-3.548987387382016],[-53.77132696871232,-3.794516754618744],[-53.75093592304944,-3.6993083185478413],[-53.625950488885486,-3.1117134191983795],[-53.5350780947226,-2.6840479090269027],[-53.444085928911676,-2.256455564447064],[-53.433874373477,-2.2083434111393068],[-53.431304001291146,-2.1960077946523984],[-53.43072490696862,-2.1921602331611294],[-53.45420117150438,-2.186528703680671],[-54.08826850427921,-2.094726910487896],[-54.545040932902666,-2.0284740354559467],[-55.12931550792357,-1.943535622337145]]]}";NA;NA;NA
"124";"1_2_LE07_226061_20070724";6;6;1,015842;"2_19_0c";6,663;3,991;5,335;9;"LE07_L1TP_226061_20070724_20170102_01_T1";1483334443000;"generate_pixel_qa_1.5.0";"LANDSAT_7";2007-07-24 13:31:47;53,637165;37,398331;"LEDAPS_3.2.0";226;61;278039002;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.22863155372968,-0.520778010236275, -53.234304851183104,-0.5468411866443301, -53.247260112544105,-0.6070453849336677, -53.36114638246949,-1.1425909661927458, -53.475270493870184,-1.6780414821724499, -53.56833133634139,-2.1153579455598885, -53.570434796727575,-2.1289627098931496, -53.42792007989625,-2.149384196256014, -52.04111898289327,-2.347175874380785, -51.886977767658564,-2.3690541860034524, -51.8733548631256,-2.3696338124575407, -51.86128910729431,-2.3172977099051293, -51.851820527049064,-2.2741516686435386, -51.83856626088591,-2.213367982850717, -51.54739225930749,-0.833409482117468, -51.53659937837516,-0.7810230089245948, -51.53352916743468,-0.7618765790267032, -51.544044791983886,-0.7532914467430833, -53.225261253434745,-0.5134335891012551, -53.22863155372968,-0.520778010236275)";"LANDSAT/LE07/C01/T1_SR/LE07_226061_20070724";1185283907850;1523005526242094;"{""type"":""Polygon"",""coordinates"":[[[-53.22863155372968,-0.520778010236275],[-53.234304851183104,-0.5468411866443301],[-53.247260112544105,-0.6070453849336677],[-53.36114638246949,-1.1425909661927458],[-53.475270493870184,-1.6780414821724499],[-53.56833133634139,-2.1153579455598885],[-53.570434796727575,-2.1289627098931496],[-53.42792007989625,-2.149384196256014],[-52.04111898289327,-2.347175874380785],[-51.886977767658564,-2.3690541860034524],[-51.8733548631256,-2.3696338124575407],[-51.86128910729431,-2.3172977099051293],[-51.851820527049064,-2.2741516686435386],[-51.83856626088591,-2.213367982850717],[-51.54739225930749,-0.833409482117468],[-51.53659937837516,-0.7810230089245948],[-51.53352916743468,-0.7618765790267032],[-51.544044791983886,-0.7532914467430833],[-53.225261253434745,-0.5134335891012551],[-53.22863155372968,-0.520778010236275]]]}";NA;NA;NA
"125";"1_2_LE07_226061_20070926";3;3;1,00263;"2_19_0c";6,114;2,92;5,372;9;"LE07_L1TP_226061_20070926_20170101_01_T1";1483272155000;"generate_pixel_qa_1.5.0";"LANDSAT_7";2007-09-26 13:31:24;89,956924;27,65416;"LEDAPS_3.2.0";226;61;274786436;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-51.87520730474795,-2.373572151494894, -51.87481765235787,-2.3723988750919096, -51.872380037305376,-2.363430597228631, -51.8242280564975,-2.1395583246169134, -51.67127864996981,-1.4150001166884272, -51.5419955989328,-0.8013839261270802, -51.53318434222844,-0.7581717768456147, -53.22070123957974,-0.5101540666532742, -53.22968953563151,-0.5160876902858565, -53.23206406995563,-0.5266563908088916, -53.24833570883624,-0.6021629327194442, -53.261293503724204,-0.6626369202081503, -53.35856845779856,-1.119813380498583, -53.45953939478176,-1.5942711615071885, -53.501828568682086,-1.7927068875646672, -53.556916329121336,-2.0515742865777358, -53.57156606867784,-2.1219103566675153, -53.563553393441914,-2.1256470821267035, -51.87520730474795,-2.373572151494894)";"LANDSAT/LE07/C01/T1_SR/LE07_226061_20070926";1190813484180;1523005527786576;"{""type"":""Polygon"",""coordinates"":[[[-51.87520730474795,-2.373572151494894],[-51.87481765235787,-2.3723988750919096],[-51.872380037305376,-2.363430597228631],[-51.8242280564975,-2.1395583246169134],[-51.67127864996981,-1.4150001166884272],[-51.5419955989328,-0.8013839261270802],[-51.53318434222844,-0.7581717768456147],[-53.22070123957974,-0.5101540666532742],[-53.22968953563151,-0.5160876902858565],[-53.23206406995563,-0.5266563908088916],[-53.24833570883624,-0.6021629327194442],[-53.261293503724204,-0.6626369202081503],[-53.35856845779856,-1.119813380498583],[-53.45953939478176,-1.5942711615071885],[-53.501828568682086,-1.7927068875646672],[-53.556916329121336,-2.0515742865777358],[-53.57156606867784,-2.1219103566675153],[-53.563553393441914,-2.1256470821267035],[-51.87520730474795,-2.373572151494894]]]}";NA;NA;NA
"126";"1_2_LE07_226062_20070622";17;17;1,016308;"2_19_0c";6,493;3,407;5,527;9;"LE07_L1TP_226062_20070622_20170102_01_T1";1483387348000;"generate_pixel_qa_1.5.0";"LANDSAT_7";2007-06-22 13:32:17;46,670437;39,614883;"LEDAPS_3.2.0";226;62;310220140;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.86885671933997,-3.556034716159992, -53.87050288528874,-3.5641730125577276, -53.87197134986242,-3.5759651333266755, -53.590393074066746,-3.616435704258748, -52.81586240099687,-3.727230320138904, -52.378525735711605,-3.789492684236248, -52.186270416734715,-3.8167671351642296, -52.173498396681715,-3.8170830876051727, -52.170994619880815,-3.807357442811117, -52.1636547868294,-3.7737146451954677, -52.13566570536287,-3.6440436143781216, -52.11366308350666,-3.54095486485603, -51.848861394300464,-2.289619518705461, -51.83266870900537,-2.210064790074249, -51.843660473917154,-2.201033819812084, -53.5267367784037,-1.9610401011223726, -53.53018728412382,-1.9685323079021102, -53.598554379443065,-2.288478438994216, -53.79884519394349,-3.2276927081912428, -53.86885671933997,-3.556034716159992)";"LANDSAT/LE07/C01/T1_SR/LE07_226062_20070622";1182519137570;1523005502518049;"{""type"":""Polygon"",""coordinates"":[[[-53.86885671933997,-3.556034716159992],[-53.87050288528874,-3.5641730125577276],[-53.87197134986242,-3.5759651333266755],[-53.590393074066746,-3.616435704258748],[-52.81586240099687,-3.727230320138904],[-52.378525735711605,-3.789492684236248],[-52.186270416734715,-3.8167671351642296],[-52.173498396681715,-3.8170830876051727],[-52.170994619880815,-3.807357442811117],[-52.1636547868294,-3.7737146451954677],[-52.13566570536287,-3.6440436143781216],[-52.11366308350666,-3.54095486485603],[-51.848861394300464,-2.289619518705461],[-51.83266870900537,-2.210064790074249],[-51.843660473917154,-2.201033819812084],[-53.5267367784037,-1.9610401011223726],[-53.53018728412382,-1.9685323079021102],[-53.598554379443065,-2.288478438994216],[-53.79884519394349,-3.2276927081912428],[-53.86885671933997,-3.556034716159992]]]}";NA;NA;NA
"127";"1_2_LE07_226062_20070724";1;1;1,015842;"2_19_0c";4,037;2,552;3,128;9;"LE07_L1TP_226062_20070724_20170103_01_T1";1483413646000;"generate_pixel_qa_1.5.0";"LANDSAT_7";2007-07-24 13:32:11;52,322315;38,432678;"LEDAPS_3.2.0";226;62;269943266;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.8779123911667,-3.5663562958070254, -53.87694488805295,-3.567334454616863, -53.87080927596169,-3.570750249271118, -52.795614759541095,-3.7291707541557333, -52.18059230350098,-3.819174963770097, -52.17775228809647,-3.809524543597949, -52.17584772400656,-3.8011057689246694, -52.17013928757717,-3.77479122060259, -52.138617643321716,-3.628843876943598, -51.98869663389943,-2.9215586889141716, -51.83878500012418,-2.2126618047972078, -51.8396633492748,-2.20377479170113, -53.52637333319743,-1.9559463868261289, -53.535521393961886,-1.9617841287711544, -53.57784666879413,-2.160266997572407, -53.671674519565386,-2.6001295731907783, -53.76571698194005,-3.0399148966919567, -53.8671096232569,-3.514294663704258, -53.8779123911667,-3.5663562958070254)";"LANDSAT/LE07/C01/T1_SR/LE07_226062_20070724";1185283931770;1523005503463077;"{""type"":""Polygon"",""coordinates"":[[[-53.8779123911667,-3.5663562958070254],[-53.87694488805295,-3.567334454616863],[-53.87080927596169,-3.570750249271118],[-52.795614759541095,-3.7291707541557333],[-52.18059230350098,-3.819174963770097],[-52.17775228809647,-3.809524543597949],[-52.17584772400656,-3.8011057689246694],[-52.17013928757717,-3.77479122060259],[-52.138617643321716,-3.628843876943598],[-51.98869663389943,-2.9215586889141716],[-51.83878500012418,-2.2126618047972078],[-51.8396633492748,-2.20377479170113],[-53.52637333319743,-1.9559463868261289],[-53.535521393961886,-1.9617841287711544],[-53.57784666879413,-2.160266997572407],[-53.671674519565386,-2.6001295731907783],[-53.76571698194005,-3.0399148966919567],[-53.8671096232569,-3.514294663704258],[-53.8779123911667,-3.5663562958070254]]]}";NA;NA;NA
"128";"1_2_LE07_226062_20070926";17;17;1,00263;"2_19_0c";6,064;4,438;4,133;9;"LE07_L1TP_226062_20070926_20170102_01_T1";1483360064000;"generate_pixel_qa_1.5.0";"LANDSAT_7";2007-09-26 13:31:48;87,222122;27,896667;"LEDAPS_3.2.0";226;62;324026165;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.407177371359225,-3.6436425407968995, -52.87229787264257,-3.7222452403713557, -52.2188552821631,-3.817807262580006, -52.18172617151686,-3.8231883070150086, -52.17693518364947,-3.8054507198897745, -51.963085155131694,-2.7959345723267623, -51.84856902686708,-2.251353076062609, -51.84004014505964,-2.2074811671393393, -51.846789054824505,-2.206458854580574, -53.52929456105704,-1.9594330420230208, -53.53844355281877,-1.9654539783763343, -53.54415498063826,-1.991126982915371, -53.5552858838367,-2.043170705970127, -53.652870310492744,-2.5012099421104668, -53.79791155908652,-3.1818815090042163, -53.85504358360705,-3.449273923329556, -53.869549152594495,-3.518082222789053, -53.8805930264654,-3.570799829657756, -53.87341621550541,-3.5748676241755843, -53.407177371359225,-3.6436425407968995)";"LANDSAT/LE07/C01/T1_SR/LE07_226062_20070926";1190813508100;1523005505384788;"{""type"":""Polygon"",""coordinates"":[[[-53.407177371359225,-3.6436425407968995],[-52.87229787264257,-3.7222452403713557],[-52.2188552821631,-3.817807262580006],[-52.18172617151686,-3.8231883070150086],[-52.17693518364947,-3.8054507198897745],[-51.963085155131694,-2.7959345723267623],[-51.84856902686708,-2.251353076062609],[-51.84004014505964,-2.2074811671393393],[-51.846789054824505,-2.206458854580574],[-53.52929456105704,-1.9594330420230208],[-53.53844355281877,-1.9654539783763343],[-53.54415498063826,-1.991126982915371],[-53.5552858838367,-2.043170705970127],[-53.652870310492744,-2.5012099421104668],[-53.79791155908652,-3.1818815090042163],[-53.85504358360705,-3.449273923329556],[-53.869549152594495,-3.518082222789053],[-53.8805930264654,-3.570799829657756],[-53.87341621550541,-3.5748676241755843],[-53.407177371359225,-3.6436425407968995]]]}";NA;NA;NA
"129";"1_2_LE07_227061_20070629";7;7;1,016622;"2_19_0c";4,043;2,617;3,082;9;"LE07_L1TP_227061_20070629_20170102_01_T1";1483379826000;"generate_pixel_qa_1.5.0";"LANDSAT_7";2007-06-29 13:38:03;48,397297;38,63715;"LEDAPS_3.2.0";227;61;282301669;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-54.10312915729283,-0.609234167507013, -54.760735787076925,-0.5121704236421927, -54.76964145296257,-0.5180583878548667, -54.78085227044193,-0.5699001723193263, -54.79376002697791,-0.6301155658386415, -54.93736429933606,-1.3031255064978302, -55.08077506863091,-1.9762458915432206, -55.11027049826104,-2.1148996650245704, -55.11206141351911,-2.1239659051494137, -55.10467518326277,-2.127831285641463, -53.41854872319475,-2.3763670042472276, -53.415536443758285,-2.3669183200780184, -53.38598899739015,-2.228953418959005, -53.34737597499486,-2.047379502667933, -53.235253909333736,-1.5168363438612924, -53.12288024167621,-0.9864227736462269, -53.07552203963273,-0.7607227783308365, -54.10312915729283,-0.609234167507013)";"LANDSAT/LE07/C01/T1_SR/LE07_227061_20070629";1183124283780;1522995855038456;"{""type"":""Polygon"",""coordinates"":[[[-54.10312915729283,-0.609234167507013],[-54.760735787076925,-0.5121704236421927],[-54.76964145296257,-0.5180583878548667],[-54.78085227044193,-0.5699001723193263],[-54.79376002697791,-0.6301155658386415],[-54.93736429933606,-1.3031255064978302],[-55.08077506863091,-1.9762458915432206],[-55.11027049826104,-2.1148996650245704],[-55.11206141351911,-2.1239659051494137],[-55.10467518326277,-2.127831285641463],[-53.41854872319475,-2.3763670042472276],[-53.415536443758285,-2.3669183200780184],[-53.38598899739015,-2.228953418959005],[-53.34737597499486,-2.047379502667933],[-53.235253909333736,-1.5168363438612924],[-53.12288024167621,-0.9864227736462269],[-53.07552203963273,-0.7607227783308365],[-54.10312915729283,-0.609234167507013]]]}";NA;NA;NA
"130";"1_2_LE07_227061_20070917";12;12;1,005133;"2_19_0c";5,213;3,131;4,168;9;"LE07_L1TP_227061_20070917_20170101_01_T1";1483280862000;"generate_pixel_qa_1.5.0";"LANDSAT_7";2007-09-17 13:37:37;82,665009;28,669277;"LEDAPS_3.2.0";227;61;309589370;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.898755105284536,-0.6394735135493926, -54.76295632971707,-0.5159036482766883, -54.766583595578396,-0.5232131924092956, -54.777886560820164,-0.575594685002069, -54.94070396468789,-1.3383896123145362, -55.10327630683658,-2.101327331805449, -55.1067627671702,-2.118703834770412, -55.10825067123575,-2.1304940016313756, -53.42541617346293,-2.371186248488982, -53.4110100113514,-2.3717927287626566, -53.39922803231061,-2.319460481016358, -53.302282841621,-1.8628274151269886, -53.20703751049472,-1.413333516163608, -53.14156867376327,-1.1037009417976096, -53.0832377214077,-0.8268856139420324, -53.07440122224302,-0.7843629931897691, -53.07061309462813,-0.7652039172193086, -53.081593322314866,-0.7561514205853076, -53.898755105284536,-0.6394735135493926)";"LANDSAT/LE07/C01/T1_SR/LE07_227061_20070917";1190036257190;1522995857944971;"{""type"":""Polygon"",""coordinates"":[[[-53.898755105284536,-0.6394735135493926],[-54.76295632971707,-0.5159036482766883],[-54.766583595578396,-0.5232131924092956],[-54.777886560820164,-0.575594685002069],[-54.94070396468789,-1.3383896123145362],[-55.10327630683658,-2.101327331805449],[-55.1067627671702,-2.118703834770412],[-55.10825067123575,-2.1304940016313756],[-53.42541617346293,-2.371186248488982],[-53.4110100113514,-2.3717927287626566],[-53.39922803231061,-2.319460481016358],[-53.302282841621,-1.8628274151269886],[-53.20703751049472,-1.413333516163608],[-53.14156867376327,-1.1037009417976096],[-53.0832377214077,-0.8268856139420324],[-53.07440122224302,-0.7843629931897691],[-53.07061309462813,-0.7652039172193086],[-53.081593322314866,-0.7561514205853076],[-53.898755105284536,-0.6394735135493926]]]}";NA;NA;NA
"131";"1_2_LE07_227061_20071104";10;10;0,991776;"2_19_0c";5,021;2,66;4,258;9;"LE07_L1TP_227061_20071104_20161231_01_T1";1483226513000;"generate_pixel_qa_1.5.0";"LANDSAT_7";2007-11-04 13:37:50;120,246025;28,900837;"LEDAPS_3.2.0";227;61;319321028;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.595514179400986,-2.3521287599701446, -53.45387971116132,-2.372347102253485, -53.440977168299845,-2.3728905459273557, -53.43843466171414,-2.3639963862646733, -53.43409312910955,-2.3454440330440116, -53.34574405468369,-1.9328013901241343, -53.26866767445078,-1.5691667474681794, -53.14065907743564,-0.9661337530457091, -53.0985313732016,-0.7658083843786467, -53.10999291195117,-0.7565952729640555, -54.6146132928376,-0.5408776249630858, -54.79019236629691,-0.5156936856381736, -54.793793905604986,-0.5229513191145131, -54.808862879218466,-0.5918794753781008, -54.92160474788992,-1.1185344024334312, -55.03422035108962,-1.6452583916764996, -55.135346320841606,-2.119018983957382, -55.13589083935456,-2.1311115597984887, -55.069567575151375,-2.1406695180047475, -53.595514179400986,-2.3521287599701446)";"LANDSAT/LE07/C01/T1_SR/LE07_227061_20071104";1194183470190;1522995859289797;"{""type"":""Polygon"",""coordinates"":[[[-53.595514179400986,-2.3521287599701446],[-53.45387971116132,-2.372347102253485],[-53.440977168299845,-2.3728905459273557],[-53.43843466171414,-2.3639963862646733],[-53.43409312910955,-2.3454440330440116],[-53.34574405468369,-1.9328013901241343],[-53.26866767445078,-1.5691667474681794],[-53.14065907743564,-0.9661337530457091],[-53.0985313732016,-0.7658083843786467],[-53.10999291195117,-0.7565952729640555],[-54.6146132928376,-0.5408776249630858],[-54.79019236629691,-0.5156936856381736],[-54.793793905604986,-0.5229513191145131],[-54.808862879218466,-0.5918794753781008],[-54.92160474788992,-1.1185344024334312],[-55.03422035108962,-1.6452583916764996],[-55.135346320841606,-2.119018983957382],[-55.13589083935456,-2.1311115597984887],[-55.069567575151375,-2.1406695180047475],[-53.595514179400986,-2.3521287599701446]]]}";NA;NA;NA
"132";"1_2_LE07_227061_20071120";14;14;0,9881;"2_19_0c";4,601;3,284;3,222;9;"LE07_L1TP_227061_20071120_20170101_01_T1";1483285294000;"generate_pixel_qa_1.5.0";"LANDSAT_7";2007-11-20 13:37:58;127,29409;31,423595;"LEDAPS_3.2.0";227;61;319318056;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-54.05115668778882,-0.6192347358614866, -54.64074568872952,-0.5346505668433372, -54.80314166436111,-0.5113563993440174, -54.80636819155116,-0.5193368995110913, -54.97066028809472,-1.2868777435567538, -55.13300030847032,-2.0465654260514095, -55.14713747791462,-2.1141387965493776, -55.148330923567045,-2.1269069153556543, -53.46564544406238,-2.3683179098630376, -53.45225000502834,-2.3688958162400984, -53.442569864476155,-2.325259653764106, -53.41088204478452,-2.1789022264612745, -53.353596403025456,-1.9114200788899927, -53.295192711640325,-1.6353007531241237, -53.18567486262242,-1.1170282218697996, -53.143670747153536,-0.9184760397445422, -53.1108623264779,-0.7613082644730814, -53.12198458365639,-0.7523677656483765, -54.05115668778882,-0.6192347358614866)";"LANDSAT/LE07/C01/T1_SR/LE07_227061_20071120";1195565878800;1522995859790971;"{""type"":""Polygon"",""coordinates"":[[[-54.05115668778882,-0.6192347358614866],[-54.64074568872952,-0.5346505668433372],[-54.80314166436111,-0.5113563993440174],[-54.80636819155116,-0.5193368995110913],[-54.97066028809472,-1.2868777435567538],[-55.13300030847032,-2.0465654260514095],[-55.14713747791462,-2.1141387965493776],[-55.148330923567045,-2.1269069153556543],[-53.46564544406238,-2.3683179098630376],[-53.45225000502834,-2.3688958162400984],[-53.442569864476155,-2.325259653764106],[-53.41088204478452,-2.1789022264612745],[-53.353596403025456,-1.9114200788899927],[-53.295192711640325,-1.6353007531241237],[-53.18567486262242,-1.1170282218697996],[-53.143670747153536,-0.9184760397445422],[-53.1108623264779,-0.7613082644730814],[-53.12198458365639,-0.7523677656483765],[-54.05115668778882,-0.6192347358614866]]]}";NA;NA;NA
"133";"1_2_LE07_227062_20070629";1;1;1,016622;"2_19_0c";3,923;2,147;3,283;9;"LE07_L1TP_227062_20070629_20170102_01_T1";1483379930000;"generate_pixel_qa_1.5.0";"LANDSAT_7";2007-06-29 13:38:27;47,260899;39,759975;"LEDAPS_3.2.0";227;62;241161238;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.753380059994484,-3.8137808356291423, -53.73568601319046,-3.816251221078328, -53.72291316020148,-3.816785561229518, -53.71846895238192,-3.7986357876029495, -53.66332456866529,-3.5393923501582147, -53.565551859049606,-3.077922736961948, -53.4676521246926,-2.6165356669737787, -53.38571939379552,-2.2281292641271393, -53.38322315607927,-2.2090819800948878, -53.3935031156204,-2.200738551938165, -53.775023443555064,-2.1463469034894826, -54.207277862508604,-2.084580948155297, -55.0462461061806,-1.9643306054903158, -55.07499717810815,-1.9602323257873209, -55.0789263330868,-1.967594479335291, -55.25152055468742,-2.7748356120196087, -55.42249429697628,-3.5750367879127127, -55.277989829635956,-3.5958457061909, -53.753380059994484,-3.8137808356291423)";"LANDSAT/LE07/C01/T1_SR/LE07_227062_20070629";1183124307700;1522996013864518;"{""type"":""Polygon"",""coordinates"":[[[-53.753380059994484,-3.8137808356291423],[-53.73568601319046,-3.816251221078328],[-53.72291316020148,-3.816785561229518],[-53.71846895238192,-3.7986357876029495],[-53.66332456866529,-3.5393923501582147],[-53.565551859049606,-3.077922736961948],[-53.4676521246926,-2.6165356669737787],[-53.38571939379552,-2.2281292641271393],[-53.38322315607927,-2.2090819800948878],[-53.3935031156204,-2.200738551938165],[-53.775023443555064,-2.1463469034894826],[-54.207277862508604,-2.084580948155297],[-55.0462461061806,-1.9643306054903158],[-55.07499717810815,-1.9602323257873209],[-55.0789263330868,-1.967594479335291],[-55.25152055468742,-2.7748356120196087],[-55.42249429697628,-3.5750367879127127],[-55.277989829635956,-3.5958457061909],[-53.753380059994484,-3.8137808356291423]]]}";NA;NA;NA
